DATE,TYPE,SOFTSWITCHNAME,GW,ROUTENAME,ROUTETYPE,DESC,DPC,CIRCUITINSTALLED,CIRCUITAVAILABLE,CICLOADSHARE,SEIZURE,ANSWER,ASR,PEAKERL,AVERAGEPEAKERL,PEAKTIME,BIDS,LOSTBIDS,CONGESTTION,DURALSEIZE
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MUMBAI_SONUS_GSXD,International , 909-MUMBAI_SONUS,4_18_1,306,306,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,MUMBAI_SONUS_GSXD,International , 909-MUMBAI_SONUS,4_18_1,306,306,0.000%,345,2,0.580%,0.112,0.000,09:00-10:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,ETISALAT_ZTE,International , 123-ETSALAT(MG7),1_1_2,308,308,1.299%,7836,1627,20.763%,8.437,0.027,19:00-20:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,ETISALAT_ZTE,International , 123-ETSALAT(MG7),1_1_2,308,308,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,ETISALAT_ZTE,International , 123-ETSALAT(MG7),1_1_2,308,308,1.299%,7836,1627,20.763%,8.437,0.027,19:00-20:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MOBITEL_GTMSC01_OUT,International  , 157-MOBITEL(GTMSC01-IN),1_119_1,93,93,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MOBITEL_GTMSC01_OUT,International  , 157-MOBITEL(GTMSC01-IN),1_119_1,93,93,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,MOBITEL_GTMSC01_OUT,International  , 157-MOBITEL(GTMSC01-IN),1_119_1,93,93,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MOBITEL_GTMSC01_IN,International  , 147-MOBITEL(GTMSC01-OUT),1_119_1,61,60,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MOBITEL_GTMSC01_IN,International  , 147-MOBITEL(GTMSC01-OUT),1_119_1,61,60,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,MOBITEL_GTMSC01_IN,International  , 147-MOBITEL(GTMSC01-OUT),1_119_1,61,60,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MOBITL_ZTE_SPECIAL,lnternational , 137-MOBITEL_SPECIAL,1_119_2,31,31,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MOBITL_ZTE_SPECIAL,lnternational , 137-MOBITEL_SPECIAL,1_119_2,31,31,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,MOBITL_ZTE_SPECIAL,lnternational , 137-MOBITEL_SPECIAL,1_119_2,31,31,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,HUTCH_CYBER_SKYPE,international ,154-HUTCH_CYBERGATE_SKYPE,0_130_0,10,10,0.000%,2,0,0.000%,0.014,0.001,20:00-21:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,HUTCH_CYBER_SKYPE,international ,154-HUTCH_CYBERGATE_SKYPE,0_130_0,10,10,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,HUTCH_CYBER_SKYPE,international ,154-HUTCH_CYBERGATE_SKYPE,0_130_0,10,10,0.000%,2,0,0.000%,0.014,0.001,20:00-21:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,HUTCH_HTLL,International ,153-HUTCH_GLOBALAQWA,0_130_0,277,277,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,HUTCH_HTLL,International ,153-HUTCH_GLOBALAQWA,0_130_0,277,277,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,HUTCH_HTLL,International ,153-HUTCH_GLOBALAQWA,0_130_0,277,277,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MOBITEL_ZTE_INCOMING,International , 127-MOBITEL,1_119_2,1016,1016,8.563%,144023,34381,23.872%,177.057,0.174,20:00-21:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MOBITEL_ZTE_INCOMING,International , 127-MOBITEL,1_119_2,1016,1016,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,MOBITEL_ZTE_INCOMING,International , 127-MOBITEL,1_119_2,1016,1016,8.563%,144023,34381,23.872%,177.057,0.174,20:00-21:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,HUTCH_CYBERGATE_2,International ,152-HUTCH_CYBERGATE_2,0_130_0,11,11,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,HUTCH_CYBERGATE_2,International ,152-HUTCH_CYBERGATE_2,0_130_0,11,11,0.000%,52,22,42.308%,0.282,0.026,06:00-07:00,52,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,HUTCH_CYBERGATE_2,International ,152-HUTCH_CYBERGATE_2,0_130_0,11,11,0.000%,52,22,42.308%,0.282,0.026,06:00-07:00,52,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,HUTCH_ZTE,International ,136-HUTCH,0_130_0,422,420,5.802%,50018,7462,14.919%,47.181,0.112,21:00-22:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,HUTCH_ZTE,International ,136-HUTCH,0_130_0,422,420,0.864%,7452,2175,29.187%,17.588,0.042,19:00-20:00,7452,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,HUTCH_ZTE,International ,136-HUTCH,0_130_0,422,420,6.667%,57470,9637,16.769%,62.966,0.150,20:00-21:00,7452,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,Hutch_Urban_VOIP,International ,150-Hutch urban voip,0_130_0,72,72,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,Hutch_Urban_VOIP,International ,150-Hutch urban voip,0_130_0,72,72,0.000%,3,3,100.000%,0.655,0.009,16:00-17:00,3,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,Hutch_Urban_VOIP,International ,150-Hutch urban voip,0_130_0,72,72,0.000%,3,3,100.000%,0.655,0.009,16:00-17:00,3,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,SLT,International,128-ZSLT,0_190_6,30,30,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,SLT,International,128-ZSLT,0_190_6,30,30,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,SLT,International,128-ZSLT,0_190_6,30,30,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,ETISALAT_ZTE_2,International , 133-etisalat(MG6),1_1_0,641,641,5.242%,45054,9749,21.638%,65.879,0.103,20:00-21:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,ETISALAT_ZTE_2,International , 133-etisalat(MG6),1_1_0,641,610,9.574%,78314,19825,25.315%,129.982,0.213,19:00-20:00,78314,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,ETISALAT_ZTE_2,International , 133-etisalat(MG6),1_1_0,641,641,14.353%,123368,29574,23.972%,191.056,0.298,20:00-21:00,78314,0,0.000%,1
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,HUTCH_CYBERGATE_1,International ,151-HUTCH_CYBERGATE_1,0_130_0,10,10,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,HUTCH_CYBERGATE_1,International ,151-HUTCH_CYBERGATE_1,0_130_0,10,10,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,HUTCH_CYBERGATE_1,International ,151-HUTCH_CYBERGATE_1,0_130_0,10,10,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,BRUMBIES_INTERNATIONAL,International,8-Brumbies_International,4_190_4,92,92,5.435%,11193,6805,60.797%,20.259,0.220,11:00-12:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,BRUMBIES_INTERNATIONAL,International,8-Brumbies_International,4_190_4,92,92,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,BRUMBIES_INTERNATIONAL,International,8-Brumbies_International,4_190_4,92,92,5.435%,11193,6805,60.797%,20.259,0.220,11:00-12:00,0,0,0.000%,0
07/08/2015,IC,Chennai_SS,Kolkata_MSG9000,BSNL Patna(L1 TAX)NLDo-ILDo,International,6241-BSNL Patna TAX(NLDO_ILDO),3_211_2,153,153,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,OG,Chennai_SS,Kolkata_MSG9000,BSNL Patna(L1 TAX)NLDo-ILDo,International,6241-BSNL Patna TAX(NLDO_ILDO),3_211_2,153,153,0.654%,1071,171,15.966%,2.074,0.014,08:00-09:00,1071,0,0.000%,0
07/08/2015,BW,Chennai_SS,Kolkata_MSG9000,BSNL Patna(L1 TAX)NLDo-ILDo,International,6241-BSNL Patna TAX(NLDO_ILDO),3_211_2,153,153,0.654%,1071,171,15.966%,2.074,0.014,08:00-09:00,1071,0,0.000%,0
